schema:identifier,schema:latitude,schema:longitude,ksj:NOO,ksj:NPL,ksj:AS3,ksj:DSO,ksj:PAN,ksj:PMP,ksj:CSB,ksj:TPE,ksj:CSU,ksj:DEM,ksj:DEC,ksj:DEE,ksj:DSH,ksj:STS,ksj:FUT,ksj:DBP,ksj:DPS,ksj:DAC,ksj:NWS,ksj:GRP,ksj:TWG,ksj:MGP,ksj:MUW,ksj:MER,ksj:UPP,ksj:LOP,ksj:CWW,ksj:TWW,ksj:NWW,ksj:HPC
fc04_252,34.4772896521349,135.286469663916,関西電力株式会社,関西国際空港エネルギーセンター,大阪府泉南郡田尻町泉州空港中1番地,1993-11,2GT,20,混焼,5,灯油,,194,100,,,,,,,,,,,,,,,,,,
fc04_253,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,2009-07,2,400,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_254,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,2009-10,3,400,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_255,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,2009-04,1,400,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_256,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,2010-07,4,400,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_257,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,2010-10,5,400,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_258,34.6291298029773,135.462678723311,中山共同発電株式会社,船町火力発電所,大阪府大阪市大正区船町,1999-04,1,144,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_259,34.683306617612,135.435938374829,株式会社ガスアンドパワー,酉島エネルギーセンター,大阪府大阪市此花区酉島,2002-04,1,146.2,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_260,34.9608522572631,136.645901130497,コスモ石油株式会社,四日市霞火力発電所,三重県四日市市大協町1-1,2003-07,1,223,専焼,8,残渣油,,0,0,,,,,,,,,,,,,,,,,,
fc04_261,35.5251004126458,135.34113395664,関西電力株式会社,舞鶴火力発電所,京都府舞鶴市字千歳560番地5,2010-08,2,900,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_262,35.6725520295798,136.077880288873,北陸電力株式会社,敦賀火力発電所,福井県敦賀市泉171号5-7,2000-09,2,700,専焼,3,石炭,湿式,2480,100,,,,,,,,,,,,,,,,,,
fc04_263,35.6725520295798,136.077880288873,北陸電力株式会社,敦賀火力発電所,福井県敦賀市泉171号5-7,1991-10,1,500,専焼,3,石炭,湿式,1800,100,,,,,,,,,,,,,,,,,,
fc04_264,35.5251004126458,135.34113395664,関西電力株式会社,舞鶴火力発電所,京都府舞鶴市字千歳560番地5,2004-08,1,900,専焼,3,石炭,湿式,2345,100,,,,,,,,,,,,,,,,,,
fc04_265,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,1964-12,1,250,専焼,4,LNG,,800,100,1978-01,,,,,,,,,,,,,,,,,
fc04_266,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,1965-08,2,250,専焼,4,LNG,,800,100,1977-11,,,,,,,,,,,,,,,,,
